嫉恶如仇 疾恶如仇
孤芳自偿 孤芳自赏
学习肆业 学习肄业
学识休养 学识修养
宁死不曲 宁死不屈
宁缺毋烂 宁缺毋滥
安份守己 安分守己
安份守纪 安分守纪
安兵不动 按兵不动
安帮定国 安邦定国
安置若素 安之若素
完壁归赵 完璧归赵
宏福齐天 洪福齐天
官运享通 官运亨通
定期会悟 定期会晤
宣宾夺主 喧宾夺主
宣染 渲染
宥于成见 囿于成见
宵衣干食 宵衣旰食
宽弘大量 宽宏大量,宽洪大量
宽洪大量 宽宏大量
宿兴夜寐 夙兴夜寐
密而不宣 秘而不宣
富丽唐皇 富丽堂皇
富丽堂惶 富丽堂皇
富丽堂黄 富丽堂皇
寒喧 寒暄
寒喧客套 寒暄客套
察颜观色 察言观色
寡不抵众 寡不敌众
寥廖无儿 寥寥无儿
对针下药 对症下药
寻序渐进 循序渐进
封妻阴子 封妻荫子
尉然成风 蔚然成风
少纵即逝 稍纵即逝
尚待商确 尚待商榷
尤如猛虎下山 犹如猛虎下山
尽心极力 尽心竭力
尾大不吊 尾大不掉
层峦叠障 层峦叠嶂
层峦迭障 层峦叠嶂
层见迭出 层见叠出
居为己有 据为己有
居心不测 居心叵测
履险如宜 履险如夷
屯积居奇 囤积居奇
山峦重迭 山峦重叠
山青水秀 山清水秀
峻工 竣工
峻工验收 竣工验收
巍然仡立 巍然屹立
工力悉抵 工力悉敌
工程峻工 工程竣工
左右开工 左右开弓
巧装打扮 乔装打扮
巧言厉色 巧言令色
布署已定 部署已定
带罪立功 戴罪立功
幅圆辽阔 幅员辽阔
幅射 辐射
并行不背 并行不悖
床第之私 床笫之私
应接不遐 应接不暇
废尽心思 费尽心思
度过难关 渡过难关
座标系 坐标系
座落 坐落
庸庸录录 庸庸碌碌
庸庸碌录 庸庸碌碌
廖廖无几 寥寥无几
廖若晨星 寥若晨星
延申 延伸
延袭成规 沿袭成规
开中明义 开宗明义
开天劈地 开天辟地
开消 开销
开源截流 开源节流
开诚不公 开诚布公
开门缉盗 开门揖盗
异曲同功 异曲同工
弃甲拽兵 弃甲曳兵
式样新颍 式样新颖
引伸义 引申义
引疚自责 引咎自责
引起反映 引起反应
张惶失措 张皇失措
张慌失措 张皇失措
张灯结采 张灯结彩
弦律 旋律
弱不经风 弱不禁风
强辞夺理 强词夺理
强驽之末 强弩之末
当人不让 当仁不让
形影相掉 形影相吊
彬彬有理 彬彬有礼
彰善惮恶 彰善瘅恶
影影约约 隐隐约约
彼彼皆是 比比皆是
待价而估 待价而沽
得不尝失 得不偿失
得垄望蜀 得陇望蜀
循序前进 循序渐进
循章摘句 寻章摘句
循规导矩 循规蹈矩
循规韬矩 循规蹈矩
微言大意 微言大义
心劳力绌 心劳力拙
心劳日绌 心劳日拙
心安礼得 心安理得
心心相应 心心相印
心怀巨测 心怀叵测
心恢意冷 心灰意冷
心恢意懒 心灰意懒
心旷神饴 心旷神怡
心浮气燥 心浮气躁
心狠手棘 心狠手辣
忍劳任怨 任劳任怨
志大材疏 志大才疏
忘夫所以 忘乎所以
忘恩负意 忘恩负义
忠贞不逾 忠贞不渝
忧心冲冲 忧心忡忡
忧心重重 忧心忡忡
忧柔寡断 优柔寡断
忽然开朗 豁然开朗
怙恶不俊 怙恶不悛
急言厉色 疾言厉色
急风劲草 疾风劲草
性格粗旷 性格粗犷
怨天忧人 怨天尤人
怨天犹人 怨天尤人
怨天由人 怨天尤人
恐前绝后 空前绝后
恢谐 诙谐
